SKU,Brand,Model,CPU,RAM,Primary_Storage,GPU,Screen_Size,Resolution,Weight_kg,OS,Type,Battery_Hours,Touchscreen,Price_INR
LTP00559,Microsoft,Notebook,Ryzen 7 5800H,16GB,512GB SSD,Integrated,14.0,QHD,1.8,Windows 11,Notebook,9.8,No,100000
LTP00560,HP,Netbook,i3-1215U,4GB,256GB HDD,Integrated,13.3,HD,0.9,Windows 10,Netbook,6.6,No,24000
LTP00561,Acer,Gaming Series,i7-12700H,16GB,512GB SSD,RTX 4060 8GB,15.6,QHD,2.3,Windows 11,Gaming Series,4.7,No,139000
LTP00562,MSI,Ultrabook,i5-12500H,16GB,512GB SSD,GTX 1650 4GB,13.3,QHD,1.3,Windows 11,Ultrabook,9.0,No,107000
LTP00563,ASUS,Business Series,Ryzen 3 3250U,16GB,2TB SSD,GTX 1650 4GB,14.0,QHD,2.1,Windows 10,Business Series,7.9,No,105000
LTP00564,Microsoft,Ultrabook,i5-1135G7,16GB,256GB SSD,GTX 1650 4GB,13.3,FHD,1.5,Windows 11,Ultrabook,5.1,No,105000
LTP00565,Dell,Notebook,i7-12700H,4GB,1TB SSD,MX550 2GB,15.6,FHD,1.9,Windows 11,Notebook,9.7,No,67000
LTP00566,Dell,Gaming Series,i9-12900H,8GB,512GB SSD,RTX 3060 6GB,16.0,FHD,2.2,Linux,Gaming Series,3.3,No,111000
LTP00567,Lenovo,Notebook,Ryzen 3 3250U,16GB,512GB SSD,Integrated,15.6,HD,2.2,Windows 11,Notebook,6.3,No,58000
LTP00568,Dell,Notebook,i9-12900H,16GB,512GB SSD,MX550 2GB,15.6,FHD,1.6,Linux,Notebook,5.1,No,107000
LTP00569,Dell,Notebook,i5-1235U,8GB,512GB SSD,Integrated,14.0,FHD,1.6,Windows 11,Notebook,7.7,No,54000
LTP00570,MSI,Business Series,Ryzen 7 5800H,16GB,2TB SSD,Integrated,14.0,FHD,2.2,Windows 10,Business Series,7.4,No,121000
LTP00571,MSI,Business Series,i7-12700H,8GB,2TB SSD,Integrated,15.6,FHD,2.1,macOS,Business Series,9.2,No,122000
LTP00572,MSI,Notebook,Ryzen 9 5900HX,16GB,1TB SSD,MX550 2GB,14.0,QHD,1.8,macOS,Notebook,6.1,No,114000
LTP00573,Infinix,Notebook,i3-1115G4,16GB,1TB SSD,Integrated,15.6,FHD,1.9,Linux,Notebook,8.9,No,44000
LTP00574,Dell,Gaming Series,Ryzen 9 5900HX,16GB,1TB SSD,RTX 4060 8GB,16.0,FHD,2.7,Linux,Gaming Series,5.4,No,123000
LTP00575,Apple,Business Series,Apple M2 Pro,8GB,2TB SSD,Integrated,15.6,Retina,2.0,macOS,Business Series,16.3,No,169000
LTP00576,Avita,Netbook,Ryzen 3 3250U,8GB,256GB HDD,Integrated,13.3,FHD,1.3,Windows 11,Netbook,6.8,No,17000
LTP00577,MSI,Notebook,i5-11400H,16GB,1TB SSD,Integrated,14.0,FHD,1.6,Linux,Notebook,5.3,No,96000
LTP00578,ASUS,Gaming Series,Ryzen 9 5900HX,32GB,512GB SSD,RTX 3050 4GB,17.3,QHD,2.5,macOS,Gaming Series,5.0,No,129000
LTP00579,MSI,Ultrabook,i3-1215U,16GB,512GB SSD,MX550 2GB,14.0,FHD,1.5,macOS,Ultrabook,5.2,No,75000
LTP00580,MSI,Ultrabook,Ryzen 3 3250U,8GB,256GB SSD,MX550 2GB,13.3,4K,1.2,Windows 10,Ultrabook,8.4,No,89000
LTP00581,ASUS,Notebook,i7-11800H,4GB,512GB SSD,Integrated,15.6,QHD,1.7,Windows 10,Notebook,7.4,No,74000
LTP00582,Apple,Ultrabook,Apple M2,16GB,1TB SSD,Integrated,13.3,Retina,1.6,macOS,Ultrabook,15.5,No,117000
LTP00583,Dell,Netbook,Ryzen 3 3250U,4GB,256GB HDD,Integrated,13.3,HD,1.3,Windows 10,Netbook,8.2,No,22000
LTP00584,HP,Ultrabook,Ryzen 7 5700U,16GB,1TB SSD,GTX 1650 4GB,14.0,FHD,1.4,Windows 11,Ultrabook,8.1,No,88000
LTP00585,Avita,Gaming Series,Ryzen 7 5800H,16GB,512GB SSD,RTX 4050 6GB,17.3,FHD,2.6,macOS,Gaming Series,3.6,No,99000
LTP00586,Acer,Netbook,i3-1215U,4GB,256GB SSD,MX550 2GB,11.6,HD,1.3,DOS,Netbook,8.1,No,25000
LTP00587,Realme,Gaming Series,i7-12700H,16GB,1TB SSD,RTX 3070 8GB,15.6,FHD,2.5,Windows 11,Gaming Series,3.4,No,122000
LTP00588,Microsoft,Gaming Series,Ryzen 7 5800H,64GB,2TB SSD,RTX 3050 4GB,15.6,FHD,2.5,macOS,Gaming Series,5.1,No,216000
LTP00589,Apple,Gaming Series,Apple M1 Pro,32GB,1TB SSD,Integrated,15.6,Retina,2.4,macOS,Gaming Series,16.7,Yes,162000
LTP00590,Dell,Ultrabook,i9-12900H,8GB,512GB SSD,GTX 1650 4GB,14.0,FHD,1.4,Linux,Ultrabook,7.0,No,85000
LTP00591,Dell,Notebook,i3-1115G4,8GB,256GB SSD,Integrated,15.6,HD,1.5,Windows 10,Notebook,6.0,No,45000
LTP00592,Infinix,Notebook,i9-12900H,4GB,512GB SSD,Integrated,14.0,FHD,1.6,Windows 11,Notebook,8.3,No,59000
LTP00593,ASUS,Netbook,i3-1115G4,8GB,512GB HDD,MX550 2GB,13.3,FHD,0.9,macOS,Netbook,6.6,No,38000
LTP00594,ASUS,Ultrabook,Ryzen 5 5500U,8GB,1TB SSD,GTX 1650 4GB,13.3,QHD,1.6,macOS,Ultrabook,9.3,No,71000
LTP00595,ASUS,Notebook,i5-11400H,8GB,256GB SSD,MX550 2GB,14.0,FHD,1.8,Windows 11,Notebook,9.4,No,58000
LTP00596,Microsoft,Ultrabook,Ryzen 3 3250U,16GB,1TB SSD,GTX 1650 4GB,14.0,FHD,1.4,macOS,Ultrabook,9.6,No,92000
LTP00597,ASUS,Gaming Series,Ryzen 7 5800H,16GB,1TB SSD,RTX 3070 8GB,17.3,FHD,2.7,Windows 11,Gaming Series,3.8,No,129000
LTP00598,Acer,Netbook,i3-1215U,4GB,512GB HDD,Integrated,13.3,HD,1.1,Windows 11,Netbook,9.2,No,18000
LTP00599,Lenovo,Netbook,i3-1215U,8GB,256GB HDD,MX550 2GB,11.6,HD,1.5,Windows 10,Netbook,6.4,Yes,28000
LTP00600,ASUS,Netbook,Ryzen 3 3250U,4GB,512GB HDD,MX550 2GB,11.6,HD,1.5,macOS,Netbook,10.0,No,29000
LTP00601,Acer,Notebook,i7-11800H,16GB,512GB SSD,MX550 2GB,14.0,FHD,1.9,macOS,Notebook,8.8,No,77000
LTP00602,ASUS,Gaming Series,i7-12700H,16GB,2TB SSD,RTX 3050 4GB,17.3,QHD,2.3,Linux,Gaming Series,3.3,No,134000
LTP00603,Infinix,Netbook,i3-1215U,4GB,512GB HDD,Integrated,13.3,FHD,0.9,Linux,Netbook,9.2,No,8000
LTP00604,MSI,Netbook,i3-1215U,4GB,256GB SSD,MX550 2GB,11.6,FHD,1.0,DOS,Netbook,9.8,No,39759
LTP00605,Realme,Ultrabook,Ryzen 5 5600H,16GB,256GB SSD,Integrated,13.3,FHD,1.3,Linux,Ultrabook,9.8,No,47000
LTP00606,Lenovo,Notebook,i7-1255U,4GB,256GB SSD,MX550 2GB,15.6,FHD,1.7,Windows 10,Notebook,8.3,Yes,55000
LTP00607,Microsoft,Notebook,Ryzen 3 3250U,8GB,256GB SSD,MX550 2GB,15.6,FHD,1.6,Linux,Notebook,9.8,No,67000
LTP00608,ASUS,Netbook,Ryzen 3 3250U,8GB,256GB HDD,Integrated,13.3,HD,0.9,Linux,Netbook,6.6,Yes,28000
LTP00609,ASUS,Ultrabook,Ryzen 9 5900HS,16GB,1TB SSD,MX550 2GB,14.0,FHD,1.8,Linux,Ultrabook,9.0,No,96000
LTP00610,Lenovo,Netbook,i3-1115G4,4GB,512GB HDD,MX550 2GB,11.6,HD,1.5,DOS,Netbook,7.0,No,24000
LTP00611,Avita,Ultrabook,i5-1135G7,8GB,1TB SSD,MX550 2GB,14.0,HD,1.1,Windows 11,Ultrabook,8.8,No,54000
LTP00612,Acer,Notebook,i3-1215U,4GB,1TB SSD,Integrated,15.6,FHD,2.1,Linux,Notebook,9.3,No,36000
LTP00613,HP,Gaming Series,i7-12700H,32GB,1TB SSD,RTX 4060 8GB,15.6,FHD,2.2,macOS,Gaming Series,5.9,No,163000
LTP00614,Lenovo,Notebook,i3-1115G4,8GB,1TB SSD,Integrated,14.0,HD,2.1,Windows 10,Notebook,8.4,No,47000
LTP00615,ASUS,Gaming Series,Ryzen 9 5900HX,32GB,2TB SSD,RTX 3070 8GB,17.3,QHD,2.5,Windows 11,Gaming Series,3.3,No,176000
LTP00616,Realme,Notebook,Ryzen 5 5600H,8GB,256GB SSD,Integrated,14.0,FHD,2.3,Windows 11,Notebook,6.7,No,38000
LTP00617,ASUS,Business Series,i5-1235U,8GB,1TB SSD,GTX 1650 4GB,15.6,FHD,2.0,Windows 11,Business Series,8.1,No,78000
LTP00618,MSI,Notebook,i7-12700H,8GB,256GB SSD,MX550 2GB,15.6,FHD,1.7,Windows 10,Notebook,6.1,No,85000
LTP00619,Realme,Netbook,i3-1115G4,4GB,512GB HDD,MX550 2GB,11.6,HD,1.4,Windows 11,Netbook,9.7,No,17000
LTP00620,HP,Ultrabook,Ryzen 5 5600H,8GB,1TB SSD,MX550 2GB,14.0,HD,1.0,Windows 11,Ultrabook,9.6,No,59000
LTP00621,Infinix,Notebook,i3-1115G4,16GB,256GB SSD,Integrated,15.6,FHD,2.0,Windows 11,Notebook,5.3,No,37000
LTP00622,Lenovo,Netbook,Ryzen 3 3250U,8GB,512GB HDD,Integrated,13.3,HD,1.1,Windows 10,Netbook,7.1,No,31000
LTP00623,Microsoft,Gaming Series,Ryzen 7 5800H,16GB,2TB SSD,GTX 1650 4GB,15.6,FHD,2.0,macOS,Gaming Series,5.8,No,143000
LTP00624,Infinix,Gaming Series,Ryzen 9 5900HS,16GB,1TB SSD,RTX 4050 6GB,15.6,QHD,2.1,Linux,Gaming Series,3.6,No,108000
LTP00625,ASUS,Notebook,i7-1255U,16GB,512GB SSD,Integrated,15.6,FHD,1.7,Windows 11,Notebook,7.1,No,76000
LTP00626,Realme,Netbook,Ryzen 3 3250U,8GB,256GB HDD,MX550 2GB,13.3,HD,1.0,Windows 11,Netbook,7.8,No,25000
LTP00627,Lenovo,Gaming Series,Ryzen 7 5800H,16GB,512GB SSD,RTX 3070 8GB,16.0,FHD,2.1,Windows 10,Gaming Series,5.2,No,108000
LTP00628,Samsung,Notebook,Ryzen 9 5900HS,8GB,512GB SSD,MX550 2GB,14.0,HD,2.2,Windows 10,Notebook,8.7,No,76000
LTP00629,MSI,Business Series,Ryzen 5 5500U,16GB,2TB SSD,MX550 2GB,14.0,4K,1.6,Linux,Business Series,9.7,No,133000
LTP00630,Acer,Gaming Series,Ryzen 9 5900HX,32GB,2TB SSD,RTX 4050 6GB,17.3,FHD,2.3,macOS,Gaming Series,4.3,No,159000
LTP00631,Apple,Ultrabook,Apple M1,16GB,1TB SSD,Integrated,14.0,Retina,1.9,macOS,Ultrabook,12.9,No,118000
LTP00632,Avita,Gaming Series,i5-12500H,32GB,1TB SSD,GTX 1650 4GB,17.3,4K,2.1,Windows 10,Gaming Series,5.7,No,119000
LTP00633,MSI,Notebook,i7-11800H,16GB,1TB SSD,MX550 2GB,14.0,QHD,2.1,Linux,Notebook,6.7,No,124000
LTP00634,Infinix,Netbook,i3-1215U,8GB,256GB SSD,Integrated,13.3,HD,1.3,Windows 10,Netbook,8.9,No,17000
LTP00635,Infinix,Notebook,Ryzen 9 5900HS,8GB,256GB SSD,Integrated,14.0,FHD,2.1,Windows 11,Notebook,6.0,No,53000
LTP00636,Samsung,Ultrabook,i5-1235U,8GB,512GB SSD,Integrated,13.3,FHD,1.6,Windows 11,Ultrabook,7.4,No,57000
LTP00637,Dell,Notebook,i3-1115G4,8GB,256GB SSD,Integrated,15.6,QHD,1.9,Windows 10,Notebook,6.7,No,49000
LTP00638,Apple,Business Series,Apple M2,32GB,2TB SSD,Integrated,14.0,Retina,2.3,macOS,Business Series,17.2,No,153000
LTP00639,Infinix,Netbook,i3-1115G4,8GB,256GB HDD,Integrated,11.6,HD,1.3,Windows 10,Netbook,8.6,No,15000
LTP00640,ASUS,Notebook,Ryzen 3 3250U,16GB,1TB SSD,MX550 2GB,15.6,FHD,1.9,Windows 10,Notebook,8.7,No,66000
LTP00641,Samsung,Business Series,i5-1235U,16GB,2TB SSD,MX550 2GB,14.0,HD,2.1,Linux,Business Series,6.5,No,104000
LTP00642,Samsung,Notebook,Ryzen 7 5800H,16GB,256GB SSD,MX550 2GB,14.0,FHD,2.0,Windows 10,Notebook,5.4,No,79000
LTP00643,Lenovo,Business Series,Ryzen 3 3250U,8GB,1TB SSD,MX550 2GB,14.0,FHD,2.2,Linux,Business Series,8.2,No,61000
LTP00644,Apple,Gaming Series,Apple M1,32GB,1TB SSD,Integrated,17.3,Retina,2.6,macOS,Gaming Series,14.3,No,162000
LTP00645,MSI,Gaming Series,i7-12700H,16GB,512GB SSD,GTX 1650 4GB,17.3,FHD,2.2,macOS,Gaming Series,5.8,No,117000
LTP00646,Apple,Business Series,Apple M1,16GB,2TB SSD,Integrated,15.6,Retina,2.3,macOS,Business Series,13.9,No,139000
LTP00647,Lenovo,Ultrabook,i9-12900H,4GB,512GB SSD,MX550 2GB,14.0,FHD,1.5,Windows 10,Ultrabook,7.3,No,72000
LTP00648,Avita,Gaming Series,Ryzen 9 5900HX,16GB,2TB SSD,RTX 4050 6GB,15.6,FHD,2.7,Windows 10,Gaming Series,4.7,No,118000
LTP00649,Acer,Gaming Series,Ryzen 7 5800H,16GB,2TB SSD,RTX 3060 6GB,17.3,4K,2.2,Windows 10,Gaming Series,5.2,No,140000
LTP00650,Samsung,Gaming Series,i9-12900H,16GB,1TB SSD,GTX 1650 4GB,16.0,4K,2.6,Windows 11,Gaming Series,4.2,No,137000
LTP00651,Infinix,Business Series,Ryzen 5 5600H,16GB,2TB SSD,Integrated,14.0,FHD,2.1,Windows 10,Business Series,7.3,No,69000
LTP00652,Infinix,Ultrabook,i5-12500H,16GB,256GB SSD,Integrated,13.3,FHD,1.9,Windows 11,Ultrabook,5.5,No,55000
LTP00653,MSI,Business Series,Ryzen 7 5700U,8GB,1TB SSD,Integrated,14.0,FHD,1.9,Windows 11,Business Series,6.7,No,82000
LTP00654,Infinix,Netbook,i3-1115G4,4GB,256GB HDD,Integrated,11.6,HD,1.1,Windows 10,Netbook,8.8,No,8000
LTP00655,Samsung,Gaming Series,Ryzen 9 5900HX,32GB,1TB SSD,RTX 3060 6GB,15.6,FHD,2.1,Linux,Gaming Series,4.9,No,136000
LTP00656,Realme,Ultrabook,Ryzen 9 5900HS,16GB,1TB SSD,GTX 1650 4GB,14.0,QHD,1.7,macOS,Ultrabook,6.5,No,92000
LTP00657,Infinix,Business Series,i7-1255U,8GB,2TB SSD,GTX 1650 4GB,15.6,HD,2.2,Linux,Business Series,7.7,No,94000
LTP00658,ASUS,Business Series,i5-1235U,16GB,512GB SSD,GTX 1650 4GB,15.6,FHD,1.6,Windows 11,Business Series,6.0,No,87000
LTP00659,Dell,Notebook,i5-1235U,32GB,256GB SSD,MX550 2GB,14.0,FHD,1.5,macOS,Notebook,9.7,No,91000
LTP00660,Microsoft,Netbook,Ryzen 3 3250U,4GB,256GB HDD,MX550 2GB,11.6,HD,1.3,Linux,Netbook,6.2,Yes,49000
LTP00661,ASUS,Business Series,i7-12700H,8GB,2TB SSD,MX550 2GB,15.6,FHD,2.0,macOS,Business Series,5.8,No,105000
LTP00662,Avita,Netbook,Ryzen 3 3250U,4GB,512GB HDD,Integrated,11.6,HD,1.2,Windows 11,Netbook,8.6,No,9000
LTP00663,Lenovo,Netbook,i3-1215U,8GB,256GB SSD,Integrated,11.6,HD,1.3,Linux,Netbook,7.6,No,27000
LTP00664,Apple,Gaming Series,Apple M2,32GB,512GB SSD,Integrated,15.6,Retina,2.3,macOS,Gaming Series,17.8,No,144000
LTP00665,HP,Notebook,i7-11800H,16GB,1TB SSD,Integrated,15.6,FHD,2.0,Linux,Notebook,9.5,No,90000
LTP00666,MSI,Notebook,Ryzen 5 5600H,8GB,1TB SSD,Integrated,14.0,QHD,1.6,Linux,Notebook,7.8,No,91000
LTP00667,Avita,Business Series,i9-12900H,16GB,1TB SSD,GTX 1650 4GB,15.6,FHD,1.7,Linux,Business Series,7.1,No,117000
LTP00668,ASUS,Netbook,i3-1115G4,8GB,256GB SSD,MX550 2GB,11.6,HD,1.5,macOS,Netbook,6.7,Yes,39000
LTP00669,Microsoft,Business Series,i3-1115G4,16GB,2TB SSD,GTX 1650 4GB,15.6,FHD,2.3,Linux,Business Series,9.4,No,116000
LTP00670,Realme,Notebook,i3-1115G4,8GB,1TB SSD,MX550 2GB,14.0,FHD,2.3,Linux,Notebook,8.4,No,46000
LTP00671,ASUS,Notebook,Ryzen 5 5500U,32GB,512GB SSD,MX550 2GB,14.0,FHD,1.6,Windows 11,Notebook,9.6,No,92000
LTP00672,HP,Notebook,Ryzen 9 5900HS,8GB,1TB SSD,MX550 2GB,15.6,FHD,1.7,macOS,Notebook,9.7,No,81000
LTP00673,Dell,Business Series,Ryzen 9 5900HS,8GB,1TB SSD,MX550 2GB,15.6,HD,1.8,Windows 10,Business Series,8.6,No,75000
LTP00674,MSI,Ultrabook,i5-1135G7,8GB,512GB SSD,MX550 2GB,14.0,FHD,1.4,Windows 11,Ultrabook,6.5,No,77000
LTP00675,Acer,Notebook,Ryzen 7 5800H,8GB,1TB SSD,Integrated,15.6,FHD,2.1,Linux,Notebook,5.6,No,54000
LTP00676,MSI,Gaming Series,i5-12500H,16GB,1TB SSD,RTX 4060 8GB,16.0,FHD,2.4,Windows 11,Gaming Series,4.5,No,134000
LTP00677,MSI,Ultrabook,Ryzen 5 5600H,32GB,256GB SSD,Integrated,14.0,FHD,1.8,Windows 11,Ultrabook,6.2,No,100000
LTP00678,Realme,Gaming Series,Ryzen 7 5800H,16GB,512GB SSD,RTX 3060 6GB,15.6,QHD,2.6,Linux,Gaming Series,3.6,No,92000
LTP00679,Acer,Business Series,i9-12900H,16GB,512GB SSD,Integrated,14.0,HD,2.2,Linux,Business Series,8.1,No,88000
LTP00680,MSI,Notebook,i7-12700H,4GB,256GB SSD,MX550 2GB,14.0,FHD,1.9,Windows 11,Notebook,8.5,No,78000
LTP00681,MSI,Ultrabook,Ryzen 9 5900HX,4GB,256GB SSD,GTX 1650 4GB,14.0,4K,1.7,Linux,Ultrabook,6.2,No,98000
LTP00682,Dell,Notebook,Ryzen 3 3250U,8GB,1TB SSD,MX550 2GB,14.0,FHD,1.9,Windows 11,Notebook,6.7,No,58000
LTP00683,Avita,Ultrabook,i5-12500H,16GB,512GB SSD,MX550 2GB,14.0,FHD,1.3,macOS,Ultrabook,7.9,No,56000
LTP00684,Avita,Gaming Series,i5-12500H,64GB,2TB SSD,RTX 4050 6GB,15.6,QHD,2.7,Windows 10,Gaming Series,3.2,No,187000
LTP00685,Infinix,Ultrabook,i7-12700H,8GB,512GB SSD,Integrated,14.0,FHD,1.8,Windows 11,Ultrabook,9.2,No,50000
LTP00686,Apple,Netbook,Apple M1,8GB,256GB SSD,Integrated,11.6,Retina,1.0,macOS,Netbook,13.6,No,38552
LTP00687,Dell,Gaming Series,Ryzen 9 5900HX,32GB,1TB SSD,RTX 4060 8GB,17.3,4K,2.1,Windows 11,Gaming Series,5.3,No,187000
LTP00688,MSI,Ultrabook,i7-12700H,8GB,256GB SSD,Integrated,13.3,QHD,1.8,Windows 11,Ultrabook,7.3,No,92000
LTP00689,Acer,Gaming Series,i9-12900H,16GB,512GB SSD,RTX 4050 6GB,15.6,FHD,2.5,macOS,Gaming Series,5.8,No,115000
LTP00690,Dell,Ultrabook,i9-12900H,8GB,1TB SSD,GTX 1650 4GB,14.0,FHD,1.9,Windows 11,Ultrabook,9.4,No,93000
LTP00691,Realme,Notebook,i3-1215U,8GB,512GB SSD,MX550 2GB,14.0,FHD,2.3,Windows 10,Notebook,8.9,No,37000
LTP00692,Infinix,Ultrabook,i5-11400H,8GB,512GB SSD,MX550 2GB,14.0,HD,1.2,Windows 11,Ultrabook,8.6,No,51000
LTP00693,HP,Ultrabook,Ryzen 7 5800H,8GB,512GB SSD,Integrated,13.3,FHD,1.0,Windows 11,Ultrabook,5.8,No,54000
LTP00694,Realme,Notebook,i5-12500H,8GB,1TB SSD,MX550 2GB,14.0,FHD,1.6,Windows 10,Notebook,8.8,Yes,55000
LTP00695,MSI,Notebook,i3-1115G4,8GB,256GB SSD,Integrated,14.0,QHD,1.5,Windows 10,Notebook,9.0,No,74000
LTP00696,Infinix,Notebook,i5-12500H,16GB,512GB SSD,MX550 2GB,14.0,FHD,1.9,Linux,Notebook,6.3,No,53000
LTP00697,Dell,Notebook,i7-11800H,8GB,256GB SSD,MX550 2GB,15.6,FHD,1.8,Windows 10,Notebook,6.4,No,72000
LTP00698,Avita,Gaming Series,i5-12500H,64GB,512GB SSD,RTX 3050 4GB,16.0,FHD,2.5,Linux,Gaming Series,3.4,No,163000
LTP00699,Dell,Ultrabook,i7-1255U,8GB,256GB SSD,GTX 1650 4GB,13.3,FHD,1.7,Linux,Ultrabook,8.1,No,82000
LTP00700,Acer,Business Series,Ryzen 5 5500U,16GB,512GB SSD,GTX 1650 4GB,14.0,FHD,1.6,macOS,Business Series,5.7,No,82000
LTP00701,Samsung,Gaming Series,i5-12500H,16GB,512GB SSD,RTX 4060 8GB,15.6,FHD,2.3,Linux,Gaming Series,4.0,No,124000
LTP00702,MSI,Ultrabook,Ryzen 3 3250U,16GB,512GB SSD,GTX 1650 4GB,14.0,FHD,1.5,Windows 11,Ultrabook,7.7,No,82000
LTP00703,Infinix,Netbook,Ryzen 3 3250U,4GB,256GB SSD,Integrated,11.6,HD,1.2,Windows 11,Netbook,6.5,No,12000
LTP00704,Apple,Gaming Series,Apple M2,16GB,512GB SSD,Integrated,17.3,Retina,2.8,macOS,Gaming Series,17.5,No,149000
LTP00705,Dell,Gaming Series,i5-12500H,32GB,2TB SSD,RTX 3070 8GB,16.0,FHD,2.1,Windows 11,Gaming Series,4.7,No,160000
LTP00706,Lenovo,Notebook,Ryzen 5 5500U,8GB,256GB SSD,Integrated,15.6,HD,1.6,Windows 11,Notebook,8.7,No,46000
LTP00707,Acer,Ultrabook,Ryzen 3 3250U,16GB,512GB SSD,GTX 1650 4GB,13.3,FHD,1.0,Linux,Ultrabook,8.8,No,58000
LTP00708,MSI,Ultrabook,Ryzen 7 5800H,16GB,1TB SSD,GTX 1650 4GB,13.3,FHD,1.1,macOS,Ultrabook,6.9,No,112000
LTP00709,MSI,Ultrabook,i9-12900H,16GB,1TB SSD,Integrated,13.3,QHD,1.5,Linux,Ultrabook,6.6,No,136000
LTP00710,Lenovo,Notebook,Ryzen 5 5500U,8GB,256GB SSD,Integrated,15.6,HD,1.7,Linux,Notebook,7.7,Yes,45000
LTP00711,Acer,Notebook,i7-12700H,8GB,1TB SSD,Integrated,15.6,HD,1.8,Windows 10,Notebook,9.7,Yes,66000
LTP00712,Acer,Business Series,Ryzen 9 5900HX,16GB,2TB SSD,MX550 2GB,14.0,FHD,1.6,Windows 11,Business Series,7.0,No,95000
LTP00713,Lenovo,Notebook,Ryzen 5 5600H,8GB,256GB SSD,Integrated,14.0,FHD,1.6,Linux,Notebook,8.6,No,47000
LTP00714,Avita,Notebook,i7-1255U,16GB,512GB SSD,MX550 2GB,15.6,HD,2.1,macOS,Notebook,8.4,No,78000
LTP00715,Realme,Notebook,i5-12500H,16GB,256GB SSD,Integrated,15.6,FHD,2.3,Linux,Notebook,8.9,No,51000
LTP00716,Apple,Notebook,Apple M1 Pro,8GB,512GB SSD,Integrated,15.6,Retina,1.6,macOS,Notebook,13.1,No,114000
LTP00717,Samsung,Business Series,Ryzen 7 5800H,32GB,1TB SSD,Integrated,15.6,FHD,2.2,Windows 11,Business Series,9.6,No,106000
LTP00718,Realme,Business Series,Ryzen 5 5500U,16GB,1TB SSD,GTX 1650 4GB,14.0,FHD,2.0,Windows 10,Business Series,8.7,No,80000
LTP00719,Dell,Notebook,i5-1235U,8GB,512GB SSD,MX550 2GB,14.0,FHD,1.9,macOS,Notebook,5.5,No,64000
LTP00720,Samsung,Notebook,i7-1255U,16GB,256GB SSD,MX550 2GB,14.0,FHD,2.3,Windows 10,Notebook,7.4,No,86000
LTP00721,Acer,Ultrabook,i5-12500H,16GB,512GB SSD,Integrated,14.0,HD,1.8,Linux,Ultrabook,8.9,No,60000
LTP00722,ASUS,Gaming Series,Ryzen 9 5900HX,16GB,512GB SSD,RTX 3060 6GB,15.6,FHD,2.1,Linux,Gaming Series,5.6,No,107000
LTP00723,ASUS,Ultrabook,i5-11400H,4GB,512GB SSD,Integrated,14.0,FHD,1.3,Windows 11,Ultrabook,7.1,No,53000
LTP00724,Lenovo,Business Series,Ryzen 7 5700U,16GB,512GB SSD,GTX 1650 4GB,14.0,HD,2.0,macOS,Business Series,8.1,No,91000
LTP00725,Infinix,Gaming Series,Ryzen 9 5900HX,16GB,1TB SSD,GTX 1650 4GB,16.0,QHD,2.1,macOS,Gaming Series,5.9,No,105000
LTP00726,Dell,Business Series,i5-12500H,32GB,512GB SSD,GTX 1650 4GB,14.0,FHD,1.9,Linux,Business Series,5.8,No,107000
LTP00727,ASUS,Business Series,i3-1115G4,8GB,1TB SSD,MX550 2GB,14.0,QHD,2.0,macOS,Business Series,7.3,No,67000
LTP00728,Microsoft,Netbook,i3-1215U,4GB,256GB HDD,Integrated,11.6,HD,1.1,Windows 10,Netbook,9.4,No,47000
LTP00729,Acer,Gaming Series,i5-12500H,8GB,512GB SSD,GTX 1650 4GB,16.0,FHD,2.6,Windows 10,Gaming Series,4.9,No,79000
LTP00730,Microsoft,Ultrabook,i3-1215U,8GB,512GB SSD,MX550 2GB,13.3,HD,1.5,macOS,Ultrabook,5.6,No,81000
LTP00731,MSI,Business Series,Ryzen 5 5600H,16GB,2TB SSD,MX550 2GB,15.6,FHD,2.2,Windows 10,Business Series,9.5,No,100000
LTP00732,MSI,Notebook,i3-1115G4,16GB,1TB SSD,MX550 2GB,15.6,FHD,2.3,Windows 11,Notebook,10.0,No,96000
LTP00733,ASUS,Ultrabook,Ryzen 5 5600H,8GB,1TB SSD,GTX 1650 4GB,13.3,FHD,1.3,Windows 10,Ultrabook,5.8,No,71000
LTP00734,Lenovo,Ultrabook,Ryzen 5 5600H,8GB,512GB SSD,GTX 1650 4GB,13.3,HD,1.0,macOS,Ultrabook,8.9,No,60000
LTP00735,Microsoft,Business Series,i5-1135G7,16GB,512GB SSD,Integrated,15.6,HD,2.0,Linux,Business Series,6.1,No,111000
LTP00736,Infinix,Gaming Series,Ryzen 7 5800H,8GB,512GB SSD,RTX 4060 8GB,17.3,FHD,2.8,macOS,Gaming Series,5.6,No,105000
LTP00737,HP,Notebook,i7-11800H,4GB,512GB SSD,Integrated,14.0,FHD,1.9,macOS,Notebook,5.1,Yes,64000
LTP00738,HP,Notebook,Ryzen 7 5700U,16GB,512GB SSD,MX550 2GB,14.0,FHD,2.2,Linux,Notebook,8.3,No,77000
LTP00739,HP,Business Series,Ryzen 5 5500U,16GB,512GB SSD,GTX 1650 4GB,15.6,QHD,1.7,Linux,Business Series,5.1,Yes,85000
LTP00740,Lenovo,Notebook,Ryzen 5 5500U,4GB,256GB SSD,Integrated,14.0,FHD,1.9,Windows 10,Notebook,9.8,No,38000
