Brand,CPU,RAM,Primary_Storage,GPU,Screen_Size,Resolution,Weight_kg,OS,Type,Battery_Hours,Touchscreen,Price_INR
Apple,Apple M2,8GB,1TB SSD,Integrated,14.0,Retina,1.5,macOS,Ultrabook,16.2,No,114000
Realme,i5-11400H,8GB,512GB SSD,Integrated,14.0,QHD,1.9,Windows 11,Notebook,10.0,No,59000
ASUS,i5-11400H,8GB,1TB SSD,MX550 2GB,13.3,FHD,1.3,Windows 10,Ultrabook,7.0,No,74000
ASUS,Ryzen 7 5700U,16GB,512GB SSD,Integrated,13.3,QHD,1.8,Windows 11,Ultrabook,7.1,No,79000
ASUS,i5-11400H,16GB,1TB SSD,MX550 2GB,14.0,QHD,1.9,Windows 10,Notebook,6.5,No,91000
Realme,i7-12700H,8GB,1TB SSD,GTX 1650 4GB,14.0,HD,1.6,macOS,Ultrabook,5.3,No,76000
Realme,i7-1255U,16GB,2TB SSD,MX550 2GB,15.6,QHD,2.1,Windows 11,Business Series,9.8,No,107000
HP,i9-12900H,16GB,256GB SSD,GTX 1650 4GB,14.0,HD,1.3,Windows 11,Ultrabook,8.0,Yes,107000
Samsung,i3-1115G4,16GB,512GB SSD,Integrated,14.0,HD,1.6,Linux,Notebook,5.8,No,57000
Realme,i5-12500H,64GB,1TB SSD,RTX 3070 8GB,15.6,QHD,2.5,Linux,Gaming Series,5.0,No,176000
Apple,Apple M2,8GB,256GB SSD,Integrated,14.0,Retina,1.2,macOS,Ultrabook,17.4,No,103000
Realme,i5-12500H,16GB,256GB SSD,MX550 2GB,14.0,HD,1.8,Windows 11,Notebook,8.9,No,55000
Infinix,Ryzen 7 5700U,16GB,1TB SSD,Integrated,13.3,HD,1.9,Linux,Ultrabook,5.5,No,63000
Lenovo,Ryzen 9 5900HS,16GB,512GB SSD,RTX 3070 8GB,16.0,QHD,2.6,Linux,Gaming Series,3.1,No,117000
HP,i3-1115G4,4GB,512GB HDD,MX550 2GB,13.3,HD,1.2,macOS,Netbook,8.3,No,27000
Lenovo,Ryzen 9 5900HX,8GB,512GB SSD,GTX 1650 4GB,17.3,QHD,2.7,macOS,Gaming Series,4.5,No,98000
Infinix,i9-12900H,32GB,1TB SSD,RTX 3060 6GB,16.0,4K,2.1,macOS,Gaming Series,4.2,No,150000
Realme,Ryzen 9 5900HX,32GB,2TB SSD,GTX 1650 4GB,15.6,QHD,2.2,macOS,Gaming Series,5.2,Yes,142000
Avita,i7-1255U,4GB,256GB SSD,Integrated,15.6,FHD,1.6,Windows 11,Notebook,7.6,No,44000
Dell,i3-1215U,4GB,256GB SSD,Integrated,13.3,HD,0.9,macOS,Netbook,10.0,Yes,27000
Acer,i3-1115G4,8GB,256GB SSD,MX550 2GB,13.3,HD,1.5,Windows 10,Netbook,9.3,No,33000
MSI,Ryzen 5 5500U,16GB,512GB SSD,MX550 2GB,15.6,FHD,1.8,Linux,Notebook,9.8,No,95000
HP,Ryzen 9 5900HX,64GB,1TB SSD,RTX 3070 8GB,17.3,FHD,2.6,macOS,Gaming Series,3.7,No,201000
Microsoft,Ryzen 5 5500U,16GB,512GB SSD,MX550 2GB,13.3,FHD,1.7,Linux,Ultrabook,6.1,No,88000
Samsung,Ryzen 7 5700U,8GB,512GB SSD,MX550 2GB,15.6,FHD,1.8,Windows 11,Notebook,7.1,No,65000
Lenovo,Ryzen 9 5900HS,8GB,1TB SSD,Integrated,14.0,HD,1.9,Windows 11,Notebook,7.1,No,75000
Apple,Apple M1 Pro,16GB,1TB SSD,Integrated,17.3,Retina,2.3,macOS,Gaming Series,14.5,No,155000
Samsung,i3-1215U,4GB,512GB HDD,MX550 2GB,13.3,FHD,1.1,DOS,Netbook,7.4,No,31000
Lenovo,i5-1235U,16GB,512GB SSD,MX550 2GB,15.6,FHD,1.7,Windows 10,Notebook,9.1,No,74000
MSI,Ryzen 3 3250U,4GB,1TB SSD,GTX 1650 4GB,13.3,FHD,1.1,macOS,Ultrabook,6.5,No,74000
Microsoft,Ryzen 9 5900HS,64GB,512GB SSD,RTX 3060 6GB,15.6,QHD,2.5,Linux,Gaming Series,4.2,No,199000
Acer,i9-12900H,32GB,256GB SSD,MX550 2GB,14.0,FHD,2.1,Windows 11,Notebook,7.8,No,104000
Samsung,Ryzen 9 5900HS,16GB,512GB SSD,Integrated,14.0,FHD,1.5,Windows 10,Notebook,9.3,No,83000
Realme,i7-1255U,8GB,512GB SSD,Integrated,14.0,HD,1.3,Linux,Ultrabook,8.8,No,55000
Avita,i5-1135G7,8GB,512GB SSD,MX550 2GB,15.6,QHD,2.0,Windows 11,Notebook,5.1,No,56000
HP,Ryzen 3 3250U,8GB,512GB SSD,Integrated,14.0,QHD,1.5,Linux,Notebook,8.2,No,53000
MSI,Ryzen 7 5800H,16GB,1TB SSD,RTX 4050 6GB,17.3,FHD,2.2,Windows 10,Gaming Series,5.2,Yes,132000
Infinix,i7-11800H,16GB,1TB SSD,MX550 2GB,15.6,FHD,2.1,Windows 11,Notebook,5.9,No,68000
Samsung,Ryzen 7 5700U,32GB,1TB SSD,Integrated,15.6,FHD,2.2,macOS,Notebook,8.3,Yes,96000
HP,Ryzen 9 5900HX,8GB,1TB SSD,Integrated,14.0,HD,1.6,Linux,Notebook,6.0,No,76000
Microsoft,Ryzen 9 5900HX,8GB,256GB SSD,MX550 2GB,14.0,FHD,2.0,Windows 10,Ultrabook,8.4,No,89000
Dell,i7-12700H,8GB,1TB SSD,MX550 2GB,14.0,FHD,1.8,macOS,Notebook,7.5,No,84000
Dell,Ryzen 3 3250U,8GB,256GB SSD,MX550 2GB,11.6,HD,1.0,Linux,Netbook,8.8,No,37000
Realme,i3-1115G4,16GB,512GB SSD,MX550 2GB,13.3,FHD,1.4,Windows 10,Ultrabook,7.0,No,55000
MSI,i7-1255U,16GB,512GB SSD,Integrated,15.6,4K,1.7,Linux,Business Series,6.6,No,119000
Acer,i7-1255U,16GB,1TB SSD,Integrated,13.3,FHD,1.4,Windows 10,Ultrabook,5.7,No,76000
ASUS,Ryzen 3 3250U,16GB,1TB SSD,MX550 2GB,15.6,FHD,1.9,Windows 10,Notebook,8.7,No,66000
Microsoft,i7-11800H,8GB,1TB SSD,Integrated,15.6,HD,1.7,Linux,Business Series,6.2,No,113000
Microsoft,i3-1215U,4GB,256GB SSD,MX550 2GB,14.0,HD,1.8,Windows 10,Notebook,5.1,No,68000
Acer,Ryzen 3 3250U,16GB,1TB SSD,Integrated,15.6,HD,2.2,macOS,Notebook,7.9,No,54000
Microsoft,Ryzen 3 3250U,4GB,256GB SSD,MX550 2GB,13.3,HD,1.1,Linux,Netbook,7.9,No,35930
Dell,i3-1215U,8GB,512GB HDD,Integrated,13.3,HD,1.3,Windows 10,Netbook,7.2,No,29000
MSI,Ryzen 9 5900HS,16GB,256GB SSD,Integrated,15.6,FHD,1.7,macOS,Notebook,7.8,No,92000
Lenovo,Ryzen 3 3250U,16GB,1TB SSD,Integrated,15.6,QHD,1.9,Windows 10,Notebook,7.0,No,74000
MSI,i3-1215U,8GB,512GB HDD,Integrated,11.6,HD,1.1,Linux,Netbook,6.7,No,49000
Dell,Ryzen 9 5900HS,32GB,1TB SSD,GTX 1650 4GB,17.3,FHD,2.3,Windows 11,Gaming Series,4.5,No,139000
Acer,i7-12700H,16GB,1TB SSD,RTX 3070 8GB,15.6,4K,2.8,Linux,Gaming Series,5.8,No,149000
Acer,Ryzen 3 3250U,8GB,256GB HDD,Integrated,11.6,HD,1.2,DOS,Netbook,9.0,No,26000
Infinix,Ryzen 7 5800H,16GB,256GB SSD,MX550 2GB,14.0,QHD,2.2,Linux,Notebook,7.6,No,60000
Realme,i5-11400H,8GB,512GB SSD,MX550 2GB,15.6,FHD,2.3,Windows 10,Notebook,9.6,No,57000
ASUS,Ryzen 9 5900HS,16GB,2TB SSD,RTX 3050 4GB,17.3,FHD,2.3,Linux,Gaming Series,4.2,No,130000
Infinix,Ryzen 7 5800H,16GB,2TB SSD,RTX 4050 6GB,15.6,FHD,2.0,Windows 10,Gaming Series,5.7,No,122000
HP,i9-12900H,8GB,1TB SSD,MX550 2GB,15.6,HD,2.1,macOS,Notebook,8.8,No,94000
Realme,i3-1115G4,4GB,256GB HDD,MX550 2GB,11.6,HD,1.3,DOS,Netbook,6.1,No,17000
ASUS,Ryzen 7 5700U,16GB,1TB SSD,Integrated,14.0,FHD,1.8,Windows 10,Notebook,6.4,No,77000
Acer,Ryzen 3 3250U,8GB,256GB SSD,MX550 2GB,15.6,QHD,1.9,macOS,Notebook,6.7,No,51000
HP,Ryzen 5 5500U,16GB,1TB SSD,MX550 2GB,14.0,FHD,1.9,Windows 10,Notebook,9.3,No,72000
Avita,Ryzen 3 3250U,4GB,256GB HDD,Integrated,13.3,FHD,1.4,DOS,Netbook,9.2,No,9000
MSI,i3-1215U,8GB,256GB HDD,Integrated,11.6,HD,1.4,Windows 11,Netbook,8.3,Yes,48000
Infinix,Ryzen 7 5700U,16GB,1TB SSD,Integrated,15.6,HD,1.6,Windows 11,Notebook,9.5,No,55000
Apple,Apple M1,32GB,2TB SSD,Integrated,17.3,Retina,2.2,macOS,Gaming Series,16.9,No,169000
Realme,Ryzen 7 5800H,32GB,2TB SSD,GTX 1650 4GB,17.3,FHD,2.5,Windows 11,Gaming Series,5.4,No,130000
Avita,i5-1235U,8GB,256GB SSD,Integrated,15.6,QHD,1.6,Windows 10,Notebook,7.6,No,44000
ASUS,i3-1115G4,8GB,256GB HDD,Integrated,13.3,FHD,1.1,Linux,Netbook,6.6,No,27000
HP,i9-12900H,4GB,256GB SSD,GTX 1650 4GB,14.0,HD,1.7,Linux,Ultrabook,6.3,No,79000
Infinix,Ryzen 5 5500U,32GB,2TB SSD,Integrated,15.6,HD,1.5,Windows 10,Business Series,6.9,No,102000
Avita,i9-12900H,4GB,512GB SSD,Integrated,14.0,HD,1.7,Windows 11,Ultrabook,7.1,No,61000
Lenovo,i5-1235U,4GB,512GB SSD,Integrated,15.6,FHD,2.0,Windows 10,Notebook,7.0,No,46000
Samsung,i7-12700H,16GB,1TB SSD,MX550 2GB,15.6,HD,2.3,Windows 10,Notebook,5.9,No,96000
Microsoft,Ryzen 9 5900HX,32GB,1TB SSD,RTX 3060 6GB,17.3,FHD,2.1,Windows 11,Gaming Series,3.3,No,156000
Samsung,Ryzen 9 5900HX,8GB,256GB SSD,MX550 2GB,15.6,HD,2.1,Windows 10,Notebook,9.0,No,76000
Apple,Apple M1,16GB,1TB SSD,Integrated,16.0,Retina,2.6,macOS,Gaming Series,16.7,No,128000
Samsung,Ryzen 9 5900HX,8GB,256GB SSD,Integrated,15.6,FHD,2.0,Windows 10,Notebook,9.2,No,69000
HP,Ryzen 3 3250U,8GB,256GB HDD,Integrated,13.3,HD,0.9,DOS,Netbook,9.8,No,26000
Infinix,i5-12500H,16GB,1TB SSD,RTX 3050 4GB,17.3,FHD,2.6,macOS,Gaming Series,3.1,Yes,83000
Apple,Apple M2 Pro,8GB,256GB SSD,Integrated,15.6,Retina,1.7,macOS,Notebook,13.8,No,122000
ASUS,i5-1235U,8GB,256GB SSD,MX550 2GB,15.6,FHD,2.1,macOS,Notebook,8.2,Yes,55000
Samsung,Ryzen 3 3250U,4GB,512GB HDD,MX550 2GB,13.3,HD,0.9,Linux,Netbook,8.0,No,35000
MSI,i7-12700H,16GB,512GB SSD,MX550 2GB,13.3,FHD,1.0,macOS,Ultrabook,5.7,No,103000
Apple,Apple M2,8GB,512GB SSD,Integrated,15.6,Retina,2.2,macOS,Gaming Series,17.3,No,113000
Infinix,i5-12500H,16GB,256GB SSD,Integrated,15.6,FHD,2.1,Windows 11,Notebook,7.1,No,52000
HP,i5-12500H,16GB,2TB SSD,RTX 3050 4GB,16.0,QHD,2.0,Linux,Gaming Series,3.1,Yes,115000
ASUS,i5-11400H,8GB,512GB SSD,Integrated,15.6,QHD,2.2,Windows 11,Notebook,9.3,No,63000
Lenovo,i3-1215U,4GB,512GB SSD,MX550 2GB,15.6,HD,1.9,Windows 10,Notebook,9.2,No,43000
Microsoft,i3-1215U,8GB,256GB SSD,MX550 2GB,13.3,HD,1.0,DOS,Netbook,8.3,No,23283
Apple,Apple M2,16GB,256GB SSD,Integrated,15.6,Retina,1.5,macOS,Notebook,16.7,No,118000
Infinix,i5-12500H,32GB,512GB SSD,Integrated,13.3,FHD,1.7,Windows 10,Ultrabook,5.7,No,72000
Acer,i7-12700H,64GB,1TB SSD,RTX 3050 4GB,15.6,FHD,2.2,Windows 11,Gaming Series,3.7,No,170000
Infinix,i5-1235U,8GB,1TB SSD,MX550 2GB,14.0,HD,2.2,Linux,Notebook,9.6,No,57000
Dell,Ryzen 7 5800H,4GB,1TB SSD,MX550 2GB,14.0,FHD,1.9,Windows 10,Notebook,7.0,No,61000
MSI,i5-1235U,16GB,512GB SSD,MX550 2GB,15.6,FHD,2.2,Windows 10,Notebook,9.8,No,101000
Infinix,i3-1115G4,16GB,1TB SSD,MX550 2GB,13.3,FHD,1.9,macOS,Ultrabook,7.6,No,51000
Realme,i3-1115G4,8GB,1TB SSD,MX550 2GB,14.0,FHD,2.3,Linux,Notebook,8.4,No,46000
HP,Ryzen 5 5500U,16GB,512GB SSD,MX550 2GB,13.3,FHD,1.2,Linux,Ultrabook,7.2,No,68000
ASUS,i3-1115G4,8GB,512GB HDD,Integrated,11.6,HD,1.3,Windows 11,Netbook,7.9,No,30000
Microsoft,i3-1215U,16GB,512GB SSD,GTX 1650 4GB,14.0,QHD,2.2,Linux,Business Series,7.3,No,111000
Apple,Apple M2,4GB,512GB SSD,Integrated,13.3,Retina,1.1,macOS,Ultrabook,16.7,No,95000
Apple,Apple M2 Pro,32GB,1TB SSD,Integrated,16.0,Retina,2.5,macOS,Gaming Series,15.7,Yes,180000
Realme,Ryzen 7 5700U,16GB,1TB SSD,MX550 2GB,14.0,FHD,1.4,Windows 11,Ultrabook,6.3,No,67000
Avita,Ryzen 9 5900HS,16GB,512GB SSD,RTX 3070 8GB,15.6,FHD,2.2,Windows 10,Gaming Series,4.1,No,107000
Realme,Ryzen 7 5800H,8GB,512GB SSD,MX550 2GB,15.6,FHD,1.8,macOS,Notebook,7.2,No,53000
Microsoft,i7-11800H,8GB,256GB SSD,Integrated,14.0,QHD,1.1,Windows 10,Ultrabook,5.1,No,95000
Apple,Apple M1,32GB,2TB SSD,Integrated,15.6,Retina,2.0,macOS,Gaming Series,17.9,No,167000
ASUS,Ryzen 5 5600H,16GB,512GB SSD,Integrated,14.0,FHD,1.9,Windows 10,Ultrabook,6.9,No,61000
HP,i7-12700H,32GB,1TB SSD,RTX 4060 8GB,15.6,FHD,2.2,macOS,Gaming Series,5.9,No,163000
Dell,Ryzen 7 5800H,16GB,512GB SSD,RTX 3060 6GB,17.3,FHD,2.3,Windows 10,Gaming Series,3.6,No,96000
Acer,i3-1215U,16GB,256GB SSD,Integrated,14.0,FHD,1.5,macOS,Notebook,7.9,No,44000
Avita,i5-12500H,8GB,512GB SSD,Integrated,14.0,FHD,2.1,macOS,Notebook,6.2,No,41000
ASUS,Ryzen 9 5900HS,16GB,1TB SSD,Integrated,13.3,FHD,1.5,macOS,Ultrabook,8.2,No,83000
MSI,i7-12700H,16GB,2TB SSD,RTX 4060 8GB,17.3,FHD,2.0,Linux,Gaming Series,5.4,No,167000
Apple,Apple M2,32GB,2TB SSD,Integrated,17.3,Retina,2.3,macOS,Gaming Series,13.8,No,189000
HP,Ryzen 9 5900HX,16GB,1TB SSD,MX550 2GB,15.6,FHD,1.5,Linux,Notebook,6.2,No,96000
HP,i5-1235U,8GB,1TB SSD,Integrated,14.0,FHD,1.8,Windows 10,Ultrabook,5.6,No,57000
Dell,i3-1115G4,8GB,256GB SSD,Integrated,13.3,HD,1.3,Windows 11,Netbook,8.3,No,32000
Apple,Apple M1,4GB,512GB HDD,Integrated,11.6,Retina,0.9,macOS,Netbook,13.0,No,48399
Acer,Ryzen 7 5800H,16GB,2TB SSD,RTX 3070 8GB,17.3,FHD,2.2,macOS,Gaming Series,3.7,No,136000
Microsoft,Ryzen 7 5800H,16GB,512GB SSD,Integrated,14.0,QHD,1.8,Windows 11,Notebook,9.8,No,100000
Samsung,Ryzen 5 5500U,16GB,512GB SSD,MX550 2GB,14.0,FHD,1.7,Windows 11,Notebook,5.2,No,70000
Realme,i3-1115G4,4GB,256GB SSD,Integrated,11.6,HD,1.3,DOS,Netbook,9.9,No,17000
Lenovo,Ryzen 9 5900HS,8GB,1TB SSD,Integrated,15.6,FHD,1.8,macOS,Notebook,9.6,No,71000
Samsung,Ryzen 7 5800H,8GB,1TB SSD,MX550 2GB,15.6,FHD,1.9,Windows 10,Notebook,8.1,No,66000
Lenovo,i5-1135G7,8GB,256GB SSD,Integrated,14.0,FHD,1.4,Windows 10,Ultrabook,8.0,No,48000
Infinix,i5-12500H,8GB,512GB SSD,RTX 3060 6GB,16.0,FHD,2.5,Linux,Gaming Series,5.6,No,68000
Samsung,Ryzen 9 5900HS,16GB,2TB SSD,GTX 1650 4GB,15.6,FHD,2.0,Windows 10,Gaming Series,3.8,No,119000
HP,i5-1135G7,16GB,256GB SSD,Integrated,14.0,FHD,1.6,Windows 11,Notebook,8.4,No,67000
Apple,Apple M1,4GB,256GB SSD,Integrated,13.3,Retina,1.3,macOS,Netbook,14.3,No,33203
Avita,Ryzen 9 5900HS,8GB,1TB SSD,MX550 2GB,15.6,FHD,2.0,Windows 10,Notebook,9.5,No,62000
Dell,Ryzen 7 5800H,32GB,1TB SSD,RTX 3070 8GB,17.3,FHD,2.0,Windows 11,Gaming Series,3.2,No,151000
Samsung,Ryzen 7 5800H,16GB,1TB SSD,RTX 3050 4GB,15.6,QHD,2.6,Linux,Gaming Series,4.1,No,104000
Realme,Ryzen 7 5700U,16GB,1TB SSD,Integrated,14.0,FHD,1.3,Windows 11,Ultrabook,7.3,No,62000
Apple,Apple M2 Pro,8GB,512GB HDD,Integrated,11.6,Retina,1.3,macOS,Netbook,17.3,No,30359
Realme,i5-12500H,16GB,256GB SSD,Integrated,14.0,HD,1.3,macOS,Ultrabook,9.5,No,54000
MSI,i5-1135G7,4GB,256GB SSD,MX550 2GB,14.0,FHD,2.1,Windows 10,Notebook,8.0,No,80000
Lenovo,i3-1215U,8GB,512GB HDD,Integrated,11.6,HD,1.0,Windows 10,Netbook,9.4,No,27000
Avita,i3-1215U,4GB,256GB HDD,Integrated,13.3,HD,1.1,macOS,Netbook,9.2,No,9000
Avita,i9-12900H,8GB,512GB SSD,RTX 3070 8GB,17.3,4K,2.5,macOS,Gaming Series,5.6,No,129000
ASUS,i7-11800H,16GB,512GB SSD,GTX 1650 4GB,13.3,QHD,1.4,Windows 11,Ultrabook,8.7,No,95000
Dell,i9-12900H,32GB,512GB SSD,RTX 4050 6GB,16.0,4K,2.2,Windows 10,Gaming Series,3.1,No,168000
Apple,Apple M1 Pro,8GB,256GB SSD,Integrated,14.0,Retina,1.9,macOS,Ultrabook,12.4,No,117000
Microsoft,i3-1115G4,4GB,512GB HDD,MX550 2GB,13.3,HD,1.5,macOS,Netbook,7.0,No,25916
Microsoft,Ryzen 7 5800H,8GB,256GB SSD,Integrated,14.0,FHD,1.7,Windows 10,Notebook,5.6,No,78000
HP,Ryzen 9 5900HX,16GB,2TB SSD,RTX 3070 8GB,15.6,FHD,2.8,Linux,Gaming Series,4.2,No,147000
Dell,i3-1215U,4GB,512GB HDD,MX550 2GB,11.6,HD,1.1,macOS,Netbook,6.1,No,31000
Avita,Ryzen 3 3250U,4GB,256GB HDD,Integrated,11.6,HD,1.2,Windows 10,Netbook,8.2,No,11000
ASUS,i7-11800H,8GB,1TB SSD,Integrated,14.0,FHD,2.0,Windows 10,Notebook,10.0,No,80000
Microsoft,Ryzen 7 5700U,8GB,512GB SSD,Integrated,14.0,QHD,1.8,Windows 11,Notebook,5.1,No,88000
MSI,Ryzen 9 5900HS,32GB,512GB SSD,RTX 3070 8GB,16.0,4K,2.5,Windows 11,Gaming Series,4.9,No,193000
HP,Ryzen 7 5800H,16GB,512GB SSD,Integrated,14.0,HD,2.0,Linux,Notebook,6.5,No,62000
Acer,Ryzen 7 5800H,8GB,512GB SSD,Integrated,15.6,FHD,1.8,macOS,Notebook,9.2,No,57000
Lenovo,Ryzen 5 5500U,4GB,256GB SSD,Integrated,15.6,FHD,1.7,macOS,Notebook,8.6,No,39000
Dell,Ryzen 9 5900HS,8GB,1TB SSD,MX550 2GB,13.3,HD,1.6,Windows 10,Ultrabook,6.1,No,79000
Avita,i5-1135G7,8GB,1TB SSD,MX550 2GB,14.0,HD,1.1,Windows 11,Ultrabook,8.8,No,54000
MSI,i7-12700H,8GB,2TB SSD,Integrated,15.6,FHD,2.1,macOS,Business Series,9.2,No,122000
Realme,i5-1235U,16GB,512GB SSD,MX550 2GB,15.6,FHD,1.8,Windows 10,Notebook,7.2,No,65000
MSI,Ryzen 9 5900HS,16GB,512GB SSD,Integrated,13.3,FHD,1.4,macOS,Ultrabook,7.2,No,103000
Realme,Ryzen 7 5700U,8GB,256GB SSD,MX550 2GB,14.0,FHD,1.4,macOS,Ultrabook,5.8,Yes,49000
Infinix,i5-1235U,16GB,1TB SSD,Integrated,15.6,HD,2.2,Windows 10,Notebook,8.6,No,60000
Infinix,i7-12700H,16GB,512GB SSD,RTX 3050 4GB,15.6,FHD,2.4,macOS,Gaming Series,3.6,No,95000
Avita,i5-12500H,16GB,256GB SSD,Integrated,14.0,HD,1.1,Linux,Ultrabook,7.9,No,52000
Microsoft,i5-1135G7,8GB,512GB SSD,MX550 2GB,15.6,HD,1.5,macOS,Notebook,5.7,No,86000
ASUS,i3-1115G4,4GB,256GB HDD,Integrated,13.3,HD,1.1,Windows 11,Netbook,9.6,No,23000
Samsung,Ryzen 7 5800H,16GB,2TB SSD,Integrated,15.6,QHD,2.2,Windows 10,Business Series,7.4,No,103000
Dell,i3-1215U,8GB,256GB HDD,MX550 2GB,11.6,HD,1.4,Linux,Netbook,9.8,No,35000
Infinix,i5-11400H,16GB,1TB SSD,MX550 2GB,14.0,QHD,1.8,macOS,Business Series,6.1,No,76000
Dell,i5-1235U,32GB,1TB SSD,MX550 2GB,14.0,FHD,2.0,Linux,Notebook,8.2,No,102000
Realme,i5-1235U,16GB,1TB SSD,MX550 2GB,14.0,FHD,1.6,Windows 11,Ultrabook,8.4,No,71000
Infinix,Ryzen 3 3250U,4GB,256GB SSD,Integrated,11.6,HD,1.5,macOS,Netbook,8.3,No,10000
Lenovo,Ryzen 9 5900HS,4GB,512GB SSD,MX550 2GB,15.6,FHD,1.8,Windows 10,Notebook,7.4,No,59000
Realme,Ryzen 9 5900HX,16GB,512GB SSD,GTX 1650 4GB,14.0,FHD,1.9,Linux,Ultrabook,5.5,No,74000
Infinix,i5-12500H,16GB,1TB SSD,Integrated,14.0,FHD,1.9,Windows 11,Business Series,8.0,No,62000
Avita,Ryzen 3 3250U,8GB,256GB SSD,Integrated,13.3,HD,1.3,macOS,Netbook,9.0,No,18000
Acer,i9-12900H,16GB,512GB SSD,Integrated,14.0,HD,2.2,Linux,Notebook,5.6,No,85000
Apple,Apple M1 Pro,8GB,1TB SSD,Integrated,15.6,Retina,2.0,macOS,Notebook,14.1,No,119000
HP,i3-1115G4,16GB,512GB SSD,MX550 2GB,14.0,FHD,1.9,Linux,Ultrabook,6.2,No,65000
Infinix,i3-1115G4,16GB,1TB SSD,Integrated,15.6,FHD,1.9,Linux,Notebook,8.9,No,44000
Dell,i5-1235U,16GB,512GB SSD,GTX 1650 4GB,14.0,FHD,2.0,Windows 11,Ultrabook,8.7,No,87000
Dell,i3-1215U,8GB,256GB SSD,Integrated,13.3,FHD,1.4,Linux,Netbook,6.5,No,29000
Microsoft,Ryzen 5 5600H,16GB,512GB SSD,Integrated,15.6,HD,2.0,Windows 10,Notebook,7.6,No,94000
MSI,i7-1255U,16GB,1TB SSD,Integrated,15.6,FHD,1.7,macOS,Notebook,6.8,No,104000
Microsoft,i5-11400H,16GB,512GB SSD,Integrated,15.6,HD,2.2,Windows 10,Notebook,6.1,No,102000
Infinix,Ryzen 7 5800H,16GB,256GB SSD,GTX 1650 4GB,13.3,HD,1.7,Windows 11,Ultrabook,9.2,No,57000
Acer,i3-1215U,16GB,512GB SSD,Integrated,14.0,FHD,2.0,Linux,Ultrabook,8.3,No,51000
Microsoft,Ryzen 9 5900HX,16GB,512GB SSD,RTX 4050 6GB,15.6,QHD,2.3,Windows 10,Gaming Series,5.5,No,146000
Samsung,Ryzen 7 5800H,8GB,256GB SSD,MX550 2GB,14.0,FHD,1.4,Windows 11,Ultrabook,9.7,No,64000
Apple,Apple M1,16GB,512GB SSD,Integrated,15.6,Retina,1.8,macOS,Business Series,18.0,No,110000
ASUS,i5-1135G7,16GB,1TB SSD,MX550 2GB,15.6,FHD,2.2,macOS,Notebook,6.0,No,78000
Microsoft,i5-1135G7,8GB,1TB SSD,MX550 2GB,15.6,FHD,1.8,macOS,Notebook,6.6,No,84000
Realme,i5-12500H,32GB,512GB SSD,RTX 4060 8GB,15.6,QHD,2.6,Windows 10,Gaming Series,5.8,No,134000
Samsung,Ryzen 7 5800H,16GB,1TB SSD,RTX 4050 6GB,16.0,FHD,2.7,Linux,Gaming Series,3.7,No,124000
ASUS,i3-1115G4,4GB,256GB HDD,MX550 2GB,13.3,HD,1.4,Windows 10,Netbook,7.8,No,29000
ASUS,i5-1135G7,4GB,256GB SSD,Integrated,13.3,FHD,2.0,Windows 11,Ultrabook,6.6,No,45000
Samsung,Ryzen 9 5900HS,16GB,1TB SSD,RTX 3060 6GB,17.3,FHD,2.0,macOS,Gaming Series,3.4,No,122000
Infinix,i9-12900H,16GB,256GB SSD,MX550 2GB,13.3,FHD,1.7,macOS,Ultrabook,5.9,No,86000
MSI,i7-1255U,8GB,512GB SSD,Integrated,13.3,FHD,1.5,Linux,Ultrabook,6.8,No,90000
Acer,Ryzen 7 5800H,4GB,256GB SSD,MX550 2GB,13.3,FHD,1.9,macOS,Ultrabook,10.0,Yes,52000
Infinix,i5-12500H,32GB,1TB SSD,RTX 4050 6GB,15.6,FHD,2.7,Windows 10,Gaming Series,3.6,No,113000
Acer,Ryzen 5 5500U,32GB,512GB SSD,MX550 2GB,14.0,FHD,1.7,Windows 10,Ultrabook,8.5,No,91000
Acer,Ryzen 3 3250U,8GB,256GB HDD,Integrated,11.6,HD,1.1,macOS,Netbook,8.4,No,22000
HP,i9-12900H,32GB,1TB SSD,RTX 3070 8GB,16.0,FHD,2.7,Linux,Gaming Series,5.2,No,150000
Dell,Ryzen 3 3250U,16GB,1TB SSD,Integrated,13.3,FHD,1.4,Linux,Ultrabook,7.4,No,60000
ASUS,i5-1135G7,16GB,1TB SSD,GTX 1650 4GB,13.3,QHD,1.1,Windows 10,Ultrabook,8.2,No,95000
Samsung,i7-12700H,16GB,1TB SSD,GTX 1650 4GB,13.3,HD,1.3,Linux,Ultrabook,7.4,No,109000
Microsoft,Ryzen 7 5800H,8GB,1TB SSD,RTX 3050 4GB,15.6,FHD,2.4,Windows 11,Gaming Series,4.4,No,120000
Acer,i3-1215U,8GB,512GB SSD,MX550 2GB,14.0,FHD,1.6,Windows 11,Ultrabook,8.3,No,44000
Microsoft,i5-12500H,64GB,512GB SSD,RTX 3050 4GB,15.6,FHD,2.6,Windows 11,Gaming Series,3.5,Yes,175000
Microsoft,i7-1255U,16GB,2TB SSD,MX550 2GB,15.6,QHD,1.6,macOS,Business Series,6.6,No,139000
Realme,Ryzen 7 5800H,8GB,256GB SSD,MX550 2GB,15.6,QHD,2.2,macOS,Notebook,8.3,No,53000
Apple,Apple M1 Pro,16GB,512GB SSD,Integrated,17.3,Retina,2.6,macOS,Gaming Series,17.2,No,137000
